[10:37:39] | 200 | ::1 | 0789 | GET: /
[10:37:41] | 200 | ::1 | 0789 | GET: /Home/GetMilestoneSeniors
[10:37:41] | 200 | ::1 | 0789 | GET: /Home/GetTopSeniors
[10:37:44] | 200 | ::1 | 0789 | GET: /admin
[10:37:45] | 200 | ::1 | 0789 | GET: /admin/permission
[10:37:47] | 200 | ::1 | 0789 | GET: /admin/accountPermission
[10:38:02] | 200 | ::1 | 0789 | GET: /Admin/AccountPermission/GetAccountPermissions?accountId=20074
[10:38:32] | 200 | ::1 | 0789 | POST: /Admin/AccountPermission/UpdatePermissions
[10:40:03] | 200 | ::1 | 0789 | POST: /Admin/AccountPermission/UpdatePermissions
[10:40:19] | 200 | ::1 | 0789 | POST: /Admin/AccountPermission/UpdatePermissions
[10:40:36] | 200 | ::1 | 0789 | POST: /Admin/AccountPermission/UpdatePermissions
[10:40:58] | 200 | ::1 | 0789 | GET: /
[10:40:59] | 200 | ::1 | 0789 | GET: /Home/GetMilestoneSeniors
[10:40:59] | 200 | ::1 | 0789 | GET: /Home/GetTopSeniors
[10:41:21] | 200 | ::1 | 0789 | GET: /testingsystem
[10:41:24] | 200 | ::1 | 0789 | GET: /
[10:41:25] | 200 | ::1 | 0789 | GET: /Home/GetMilestoneSeniors
[10:41:25] | 200 | ::1 | 0789 | GET: /Home/GetTopSeniors
[10:42:24] | 200 | ::1 | 0789 | GET: /Admin/AccountPermission/GetAccountPermissions?accountId=24
[10:42:40] | 200 | ::1 | 0789 | GET: /admin/account
[10:42:41] | 200 | ::1 | 0789 | GET: /admin/permission
[10:53:46] | 200 | ::1 | 0789 | GET: /dataemployee
[10:53:47] | 404 | ::1 | 0789 | GET: /DataEmployee/GetTopEmployeeKaizen?year=2026
[10:53:47] | 200 | ::1 | 0789 | GET: /DataEmployee/GetEmployees?search=&department=
[10:53:47] | 404 | ::1 | 0789 | GET: /DataEmployee/GetTopEmployeeProductivity?year=2026
[10:53:47] | 200 | ::1 | 0789 | GET: /DataEmployee/GetTopEmployeeErrors?year=2026
[10:56:41] | 200 | ::1 | 0789 | GET: /admin/accountPermission
[11:02:19] | 200 | ::1 | 0789 | GET: /Admin/AccountPermission/GetAccountPermissions?accountId=3
[11:02:34] | 200 | ::1 | 0789 | POST: /Admin/AccountPermission/UpdatePermissions
[11:04:50] | 200 | ::1 | 0789 | GET: /hr
[11:04:50] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:04:50] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:04:52] | 200 | ::1 | 0789 | GET: /hr/employee
[11:04:53] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:04:54] | 200 | ::1 | 0789 | GET: /hr/employee?department=&key_search=ng%C3%A0
[11:04:54] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:04:57] | 200 | ::1 | 0789 | GET: /hr/employee/edit?id=19
[11:04:57] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:05:04] | 302 | ::1 | 0789 | POST: /hr/employee/edit
[11:05:04] | 200 | ::1 | 0789 | GET: /HR/Employee
[11:05:05] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:05:08] | 200 | ::1 | 0789 | GET: /dataemployee
[11:05:09] | 200 | ::1 | 0789 | GET: /DataEmployee/GetEmployees?search=&department=
[11:05:09] | 404 | ::1 | 0789 | GET: /DataEmployee/GetTopEmployeeProductivity?year=2026
[11:05:09] | 404 | ::1 | 0789 | GET: /DataEmployee/GetTopEmployeeKaizen?year=2026
[11:05:09] | 200 | ::1 | 0789 | GET: /DataEmployee/GetTopEmployeeErrors?year=2026
[11:20:31] | 200 | ::1 | 0789 | GET: /warehouse
[11:20:32] | 200 | ::1 | 0789 | GET: /warehouse/issueReturnLog
[11:20:32] | 200 | ::1 | 0789 | GET: /warehouse/IssueReturnLog/GetMachines
[11:20:32] | 200 | ::1 | 0789 | GET: /warehouse/IssueReturnLog/GetEmployeeSuggestions?term=
[11:20:32] | 200 | ::1 | 0789 | GET: /warehouse/tool/GetTools
[11:20:32] | 200 | ::1 | 0789 | GET: /warehouse/IssueReturnLog/GetIssueReturnLogs?key_search=&status=&fromDate=2025-01-28&toDate=2026-01-28
[11:22:31] | 200 | ::1 | 0789 | GET: /
[11:22:32] | 200 | ::1 | 0789 | GET: /Home/GetMilestoneSeniors
[11:22:32] | 200 | ::1 | 0789 | GET: /Home/GetTopSeniors
[11:22:33] | 200 | ::1 | 0789 | GET: /hr
[11:22:33] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:22:33] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:22:35] | 200 | ::1 | 0789 | GET: /hr/department
[11:22:36] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:23:06] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:24:01] | 200 | ::1 | 0789 | GET: /hr/department
[11:24:01] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:24:05] | 200 | ::1 | 0789 | GET: /hr/department/edit?id=1
[11:24:05] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:24:17] | 200 | ::1 | 0789 | GET: /hr/department
[11:24:18] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:24:49] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:25:19] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:25:35] | 200 | ::1 | 0789 | GET: /hr/department/add
[11:25:35] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:25:51] | 302 | ::1 | 0789 | POST: /hr/department/add
[11:25:51] | 200 | ::1 | 0789 | GET: /HR/Department
[11:25:51] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:25:55] | 200 | ::1 | 0789 | GET: /hr/department/add
[11:25:55] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:26:30] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:27:00] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:27:30] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:28:00] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:28:30] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:28:59] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:29:29] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:29:59] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:30:30] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:30:59] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:31:29] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:31:59] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:32:36] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:33:06] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:33:36] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:34:06] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:34:36] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:35:07] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:35:37] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:36:07] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:36:37] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
[11:37:07] | 200 | ::1 | 0789 | GET: /Hr/Dashboard/GetNotifications
