[08:37:39] | 302 | ::1 | Anonymous | GET: /
[08:37:39] | 200 | ::1 | Anonymous | GET: /home/login?ReturnUrl=%2F
[08:37:48] | 302 | ::1 | Anonymous | POST: /home/login?returnurl=%2F
[08:37:48] | 200 | ::1 | 0789 | GET: /
[08:37:48] | 200 | ::1 | 0789 | GET: /Home/GetMilestoneSeniors
[08:37:49] | 200 | ::1 | 0789 | GET: /Home/GetTopSeniors
[08:37:55] | 200 | ::1 | 0789 | GET: /production
[08:38:12] | 404 | ::1 | 0789 | GET: /production/productionProcesses
[08:38:35] | 404 | ::1 | 0789 | GET: /production/productionProcesses
[08:38:36] | 404 | ::1 | 0789 | GET: /production/productionProcesses
[08:38:37] | 404 | ::1 | 0789 | GET: /production/productionProcesses
[08:39:13] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[08:54:31] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[08:54:31] | 404 | ::1 | 0789 | GET: /Production/GetList
[08:56:03] | 404 | ::1 | 0789 | POST: /Production/Save
[08:57:08] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[08:57:10] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[08:57:14] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:16] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[08:57:16] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[08:57:16] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[08:57:16] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[08:57:19] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:19] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:19] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:20] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:20] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:44] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:47] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[08:57:47] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[08:57:47] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[08:57:47] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[08:57:49] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:49] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:49] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:50] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:50] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:50] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:50] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:50] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:51] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:51] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:51] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:51] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:51] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[08:57:52] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:12:41] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[09:14:56] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[09:14:58] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:16:01] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:16:07] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[09:16:08] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[09:16:08] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[09:16:08] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[09:16:24] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:18:56] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:22:39] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[09:22:41] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:22:50] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:22:59] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:23:05] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:24:49] | 200 | ::1 | 0789 | GET: /production/productionProcessess
